varpi,root1,root2,root3
2.895,0.3540480116534999,0.9533230719800097,nan
2.9,0.35283561770923655,0.951875806826559,nan
2.9050000000000002,0.3516294784596533,0.9504322404781146,nan
2.91,0.3504295503044082,0.9489923643216123,nan
2.915,0.3492357900335594,0.9475561696955086,nan
2.92,0.3480481548231717,0.9461236478915637,nan
2.9250000000000003,0.34686660223098154,0.9446947901566264,nan
2.93,0.3456910901921264,0.9432695876943387,nan
2.935,0.344521577014931,0.9418480316668285,nan
2.94,0.3433580213767526,0.9404301131963547,nan
2.945,0.3422003823198858,0.9390158233669124,nan
2.95,0.3410486192475218,0.9376051532258065,nan
2.955,0.33990269191976485,0.9361980937851928,nan
2.96,0.33876256044970265,0.9347946360235693,nan
2.965,0.3376281852995303,0.9333947708872569,nan
2.97,0.3364995272767281,0.9319984892918217,nan
2.975,0.335376547530291,0.930605782123489,nan
2.98,0.3342592075470082,0.9292166402405031,nan
2.985,0.33314746914779425,0.9278310544744798,nan
2.99,0.3320412944840687,0.9264490156316972,nan
2.995,0.33094064603418566,0.9250705144943939,nan
3.0,0.3298454865999088,0.9236955418220115,nan
3.005,0.32875577930293626,0.9223240883524079,nan
3.0100000000000002,0.3276714875814685,0.9209561448030711,nan
3.015,0.3265925751868256,0.91959170187227,nan
3.02,0.3255190061801043,0.9182307502402008,nan
3.025,0.3244507449288844,0.9168732805701015,nan
3.0300000000000002,0.32338775610397386,0.9155192835093442,nan
3.035,0.3223300046762002,0.914168749690493,nan
3.04,0.3212774559132405,0.9128216697323478,nan
3.045,0.3202300753764942,0.9114780342409631,nan
3.0500000000000003,0.31918782891799785,0.9101378338106353,nan
3.055,0.31815068267737745,0.9088010590248756,nan
3.06,0.31711860307884027,0.9074677004573627,nan
3.065,0.3160915568282068,0.9061377486728578,nan
3.0700000000000003,0.31506951090998014,0.9048111942281223,nan
3.075,0.3140524325844524,0.9034880276727913,nan
3.08,0.31304028938484824,0.9021682395502433,nan
3.085,0.3120330491145046,0.9008518203984421,nan
3.09,0.3110306798440862,0.8995387607507581,nan
3.095,0.31003314990883707,0.8982290511367779,nan
3.1,0.309040427905865,0.8969226820830871,nan
3.105,0.30805248269146135,0.8956196441140414,nan
3.11,0.30706928337845424,0.8943199277525108,nan
3.115,0.3060907993335945,0.8930235235206151,nan
3.12,0.30511700017497473,0.8917304219404448,nan
3.125,0.3041478557694797,0.8904406135347466,nan
3.13,0.30318333623026883,0.8891540888276174,nan
3.1350000000000002,0.30222341191428914,0.8878708383451615,nan
3.14,0.30126805341982077,0.8865908526161465,nan
3.145,0.3003172315840496,0.8853141221726342,nan
3.15,0.29937091748067224,0.884040637550603,nan
3.1550000000000002,0.298429082417529,0.8827703892905492,nan
3.16,0.2974916979342663,0.881503367938078,nan
3.165,0.2965587358000269,0.8802395640444806,nan
3.17,0.29563016801116865,0.8789789681672968,nan
3.1750000000000003,0.29470596678901084,0.8777215708708604,nan
3.18,0.29378610457760723,0.8764673627268396,nan
3.185,0.29287055404154655,0.875216334314753,nan
3.19,0.2919592880637789,0.8739684762224822,nan
3.1950000000000003,0.29105227974346837,0.8727237790467695,nan
3.2,0.2901495023938711,0.8714822333937003,nan
3.205,0.28925092954023957,0.8702438298791795,nan
3.21,0.28835653491774976,0.8690085591293877,nan
3.215,0.2874662924694552,0.8677764117812319,nan
3.22,0.2865801763442635,0.8665473784827905,nan
3.225,0.28569816089493816,0.8653214498937288,nan
3.23,0.2848202206761221,0.8640986166857259,nan
3.235,0.2839463304423864,0.8628788695428753,nan
3.24,0.2830764651462998,0.861662199162081,nan
3.245,0.28221059993652325,0.8604485962534476,nan
3.25,0.281348710155924,0.8592380515406475,nan
3.255,0.28049077133971334,0.8580305557612965,nan
3.2600000000000002,0.2796367592136058,0.8568260996673004,nan
3.265,0.2787866496919984,0.855624674025212,nan
3.27,0.27794041887617316,0.8544262696165619,nan
3.275,0.2770980430525177,0.8532308772381915,nan
3.2800000000000002,0.2762594986907681,0.8520384877025722,nan
3.285,0.2754247624422717,0.8508490918381147,nan
3.29,0.2745938111382686,0.8496626804894778,nan
3.295,0.273766621788194,0.8484792445178619,nan
